1937,Best Actor,Charles Boyer,False,Conquest
1937,Best Actor,Fredric March,False,A Star Is Born
1937,Best Actor,Robert Montgomery,False,Night Must Fall
1937,Best Actor,Paul Muni,False,The Life of Emile Zola
1938,Best Actor,Spencer Tracy ,True,Boys Town
1938,Best Actor,Charles Boyer,False,Algiers
1938,Best Actor,James Cagney,False,Angels with Dirty Faces
1938,Best Actor,Robert Donat,False,The Citadel
1938,Best Actor,Leslie Howard,False,Pygmalion
1939,Best Actor,Robert Donat ,True,"Goodbye, Mr. Chips"
1939,Best Actor,Clark Gable,False,Gone with the Wind
1939,Best Actor,Laurence Olivier,False,Wuthering Heights
1939,Best Actor,Mickey Rooney,False,Babes in Arms
1939,Best Actor,James Stewart,False,Mr. Smith Goes to Washington
1940,Best Actor,James Stewart ,True,The Philadelphia Story
1940,Best Actor,Charlie Chaplin,False,The Great Dictator
1940,Best Actor,Henry Fonda,False,The Grapes of Wrath
1940,Best Actor,Raymond Massey,False,Abe Lincoln in Illinois
1940,Best Actor,Laurence Olivier,False,Rebecca
1941,Best Actor,Gary Cooper ,True,Sergeant York
1941,Best Actor,Cary Grant,False,Penny Serenade
1941,Best Actor,Walter Huston,False,The Devil and Daniel Webster
1941,Best Actor,Robert Montgomery,False,Here Comes Mr. Jordan
1941,Best Actor,Orson Welles,False,Citizen Kane
1942,Best Actor,James Cagney ,True,Yankee Doodle Dandy
1942,Best Actor,Ronald Colman,False,Random Harvest
1942,Best Actor,Gary Cooper,False,The Pride of the Yankees
1942,Best Actor,Walter Pidgeon,False,Mrs. Miniver
1942,Best Actor,Monty Woolley,False,The Pied Piper
1943,Best Actor,Paul Lukas ,True,Watch on the Rhine
1943,Best Actor,Humphrey Bogart,False,Casablanca
1943,Best Actor,Gary Cooper,False,For Whom the Bell Tolls
1943,Best Actor,Walter Pidgeon,False,Madame Curie
1943,Best Actor,Mickey Rooney,False,The Human Comedy
1944,Best Actor,Bing Crosby ,True,Going My Way
1944,Best Actor,Charles Boyer,False,Gaslight
1944,Best Actor,Barry Fitzgerald,False,Going My Way
1944,Best Actor,Cary Grant,False,None but the Lonely Heart
1944,Best Actor,Alexander Knox,False,Wilson
1945,Best Actor,Ray Milland ,True,The Lost Weekend
1945,Best Actor,Bing Crosby,False,The Bells of St. Mary's
1945,Best Actor,Gene Kelly,False,Anchors Aweigh
1945,Best Actor,Gregory Peck,False,The Keys of the Kingdom
1945,Best Actor,Cornel Wilde,False,A Song to Remember
1946,Best Actor,Fredric March ,True,The Best Years of Our Lives
1946,Best Actor,Laurence Olivier,False,Henry V
1946,Best Actor,Larry Parks,False,The Jolson Story
1946,Best Actor,Gregory Peck,False,The Yearling
1946,Best Actor,James Stewart,False,It's a Wonderful Life
1947,Best Actor,Ronald Colman ,True,A Double Life
1947,Best Actor,John Garfield,False,Body and Soul
1947,Best Actor,Gregory Peck,False,Gentleman's Agreement
1947,Best Actor,William Powell,False,Life with Father
1947,Best Actor,Michael Redgrave,False,Mourning Becomes Electra
1948,Best Actor,Laurence Olivier ,True,Hamlet
1948,Best Actor,Lew Ayres,False,Johnny Belinda
1948,Best Actor,Montgomery Clift,False,The Search
1948,Best Actor,Dan Dailey,False,When My Baby Smiles at Me
1948,Best Actor,Clifton Webb,False,Sitting Pretty
1949,Best Actor,Broderick Crawford ,True,All the King's Men
1949,Best Actor,Kirk Douglas,False,Champion
1949,Best Actor,Gregory Peck,False,Twelve O'Clock High
1949,Best Actor,Richard Todd,False,The Hasty Heart
1949,Best Actor,John Wayne,False,Sands of Iwo Jima
1950,Best Actor,José Ferrer ,True,Cyrano de Bergerac
1950,Best Actor,Louis Calhern,False,The Magnificent Yankee
1950,Best Actor,William Holden,False,Sunset Boulevard
1950,Best Actor,James Stewart,False,Harvey
1950,Best Actor,Spencer Tracy,False,Father of the Bride
1951,Best Actor,Humphrey Bogart ,True,The African Queen
1951,Best Actor,Marlon Brando,False,A Streetcar Named Desire
1951,Best Actor,Montgomery Clift,False,A Place in the Sun
1951,Best Actor,Arthur Kennedy,False,Bright Victory
1951,Best Actor,Fredric March,False,Death of a Salesman
1952,Best Actor,Gary Cooper ,True,High Noon
1952,Best Actor,Marlon Brando,False,Viva Zapata!
1952,Best Actor,Kirk Douglas,False,The Bad and the Beautiful
1952,Best Actor,José Ferrer,False,Moulin Rouge
1952,Best Actor,Alec Guinness,False,The Lavender Hill Mob
1953,Best Actor,William Holden ,True,Stalag 17
1953,Best Actor,Marlon Brando,False,Julius Caesar
1953,Best Actor,Richard Burton,False,The Robe
1953,Best Actor,Montgomery Clift,False,From Here to Eternity
1953,Best Actor,Burt Lancaster,False,From Here to Eternity
