year,category,actor/actress,winner,movie
2010,BEST SUPPORTING ACTOR,John Hawkes,False,Winter's Bone
2010,BEST SUPPORTING ACTOR,Jeremy Renner,False,The Town
2010,BEST SUPPORTING ACTOR,Mark Ruffalo,False,The Kids Are All Right
2010,BEST SUPPORTING ACTOR,Geoffrey Rush,False,The King's Speech
2011,BEST SUPPORTING ACTOR,Christopher Plummer ,True,Beginners
2011,BEST SUPPORTING ACTOR,Kenneth Branagh,False,My Week with Marilyn
2011,BEST SUPPORTING ACTOR,Jonah Hill,False,Moneyball
2011,BEST SUPPORTING ACTOR,Nick Nolte,False,Warrior
2011,BEST SUPPORTING ACTOR,Max von Sydow,False,Extremely Loud and Incredibly Close
2012,BEST SUPPORTING ACTOR,Christoph Waltz ,True,Django Unchained
2012,BEST SUPPORTING ACTOR,Alan Arkin,False,Argo
2012,BEST SUPPORTING ACTOR,Robert De Niro,False,Silver Linings Playbook
2012,BEST SUPPORTING ACTOR,Philip Seymour Hoffman,False,The Master
2012,BEST SUPPORTING ACTOR,Tommy Lee Jones,False,Lincoln
2013,BEST SUPPORTING ACTOR,Jared Leto ,True,Dallas Buyers Club
2013,BEST SUPPORTING ACTOR,Barkhad Abdi,False,Captain Phillips
2013,BEST SUPPORTING ACTOR,Bradley Cooper,False,American Hustle
2013,BEST SUPPORTING ACTOR,Michael Fassbender,False,12 Years a Slave
2013,BEST SUPPORTING ACTOR,Jonah Hill,False,The Wolf of Wall Street
2014,BEST SUPPORTING ACTOR,J. K. Simmons ,True,Whiplash
2014,BEST SUPPORTING ACTOR,Robert Duvall,False,The Judge
2014,BEST SUPPORTING ACTOR,Ethan Hawke,False,Boyhood
2014,BEST SUPPORTING ACTOR,Edward Norton,False,Birdman
2014,BEST SUPPORTING ACTOR,Mark Ruffalo,False,Foxcatcher
2015,BEST SUPPORTING ACTOR,Mark Rylance ,True,Bridge of Spies
2015,BEST SUPPORTING ACTOR,Christian Bale,False,The Big Short
2015,BEST SUPPORTING ACTOR,Tom Hardy,False,The Revenant
2015,BEST SUPPORTING ACTOR,Mark Ruffalo,False,Spotlight
2015,BEST SUPPORTING ACTOR,Sylvester Stallone,False,Creed
2016,BEST SUPPORTING ACTOR,Mahershala Ali ,True,Moonlight
2016,BEST SUPPORTING ACTOR,Jeff Bridges,False,Hell or High Water
2016,BEST SUPPORTING ACTOR,Lucas Hedges,False,Manchester by the Sea
2016,BEST SUPPORTING ACTOR,Dev Patel,False,Lion
2016,BEST SUPPORTING ACTOR,Michael Shannon,False,Nocturnal Animals
2017,BEST SUPPORTING ACTOR,Sam Rockwell ,True,"Three Billboards Outside Ebbing, Missouri"
2017,BEST SUPPORTING ACTOR,Willem Dafoe,False,The Florida Project
2017,BEST SUPPORTING ACTOR,Woody Harrelson,False,"Three Billboards Outside Ebbing, Missouri"
2017,BEST SUPPORTING ACTOR,Richard Jenkins,False,The Shape of Water
2017,BEST SUPPORTING ACTOR,Christopher Plummer,False,All the Money in the World
2018,BEST SUPPORTING ACTOR,Mahershala Ali,True,Green Book
2018,BEST SUPPORTING ACTOR,Adam Driver,False,BlacKkKlansman
2018,BEST SUPPORTING ACTOR,Sam Elliott,False,A Star Is Born
2018,BEST SUPPORTING ACTOR,Richard E. Grant,False,Can You Ever Forgive Me?
2018,BEST SUPPORTING ACTOR,Sam Rockwell,False,Vice
1936,BEST SUPPORTING ACTRESS,Gale Sondergaard ,True,Anthony Adverse
1936,BEST SUPPORTING ACTRESS,Beulah Bondi,False,The Gorgeous Hussy
1936,BEST SUPPORTING ACTRESS,Alice Brady,False,My Man Godfrey
1936,BEST SUPPORTING ACTRESS,Bonita Granville,False,These Three
1936,BEST SUPPORTING ACTRESS,Maria Ouspenskaya,False,Dodsworth
1937,BEST SUPPORTING ACTRESS,Alice Brady ,True,In Old Chicago
1937,BEST SUPPORTING ACTRESS,Andrea Leeds,False,Stage Door
1937,BEST SUPPORTING ACTRESS,Anne Shirley,False,Stella Dallas
1937,BEST SUPPORTING ACTRESS,Claire Trevor,False,Dead End
1937,BEST SUPPORTING ACTRESS,May Whitty,False,Night Must Fall
1938,BEST SUPPORTING ACTRESS,Fay Bainter ,True,Jezebel
1938,BEST SUPPORTING ACTRESS,Beulah Bondi,False,Of Human Hearts
1938,BEST SUPPORTING ACTRESS,Billie Burke,False,Merrily We Live
1938,BEST SUPPORTING ACTRESS,Spring Byington,False,You Can't Take It with You
1938,BEST SUPPORTING ACTRESS,Miliza Korjus,False,The Great Waltz
1939,BEST SUPPORTING ACTRESS,Hattie McDaniel ,True,Gone with the Wind
1939,BEST SUPPORTING ACTRESS,Olivia de Havilland,False,Gone with the Wind
1939,BEST SUPPORTING ACTRESS,Geraldine Fitzgerald,False,Wuthering Heights
1939,BEST SUPPORTING ACTRESS,Edna May Oliver,False,Drums Along the Mohawk
1939,BEST SUPPORTING ACTRESS,Maria Ouspenskaya,False,Love Affair
1940,BEST SUPPORTING ACTRESS,Jane Darwell ,True,The Grapes of Wrath
1940,BEST SUPPORTING ACTRESS,Judith Anderson,False,Rebecca
1940,BEST SUPPORTING ACTRESS,Ruth Hussey,False,The Philadelphia Story
1940,BEST SUPPORTING ACTRESS,Barbara O'Neil,False,"All This, and Heaven Too"
1940,BEST SUPPORTING ACTRESS,Marjorie Rambeau,False,Primrose Path
1941,BEST SUPPORTING ACTRESS,Mary Astor ,True,The Great Lie
1941,BEST SUPPORTING ACTRESS,Sara Allgood,False,How Green Was My Valley
1941,BEST SUPPORTING ACTRESS,Patricia Collinge,False,The Little Foxes
1941,BEST SUPPORTING ACTRESS,Teresa Wright,False,The Little Foxes
1941,BEST SUPPORTING ACTRESS,Margaret Wycherly,False,Sergeant York
1942,BEST SUPPORTING ACTRESS,Teresa Wright ,True,Mrs. Miniver
1942,BEST SUPPORTING ACTRESS,Gladys Cooper,False,"Now, Voyager"
1942,BEST SUPPORTING ACTRESS,Agnes Moorehead,False,The Magnificent Ambersons
1942,BEST SUPPORTING ACTRESS,Susan Peters,False,Random Harvest
1942,BEST SUPPORTING ACTRESS,May Whitty,False,Mrs. Miniver
1943,BEST SUPPORTING ACTRESS,Katina Paxinou ,True,For Whom the Bell Tolls
1943,BEST SUPPORTING ACTRESS,Gladys Cooper,False,The Song of Bernadette
1943,BEST SUPPORTING ACTRESS,Paulette Goddard,False,So Proudly We Hail!
1943,BEST SUPPORTING ACTRESS,Anne Revere,False,The Song of Bernadette
1943,BEST SUPPORTING ACTRESS,Lucile Watson,False,Watch on the Rhine
1944,BEST SUPPORTING ACTRESS,Ethel Barrymore ,True,None but the Lonely Heart
1944,BEST SUPPORTING ACTRESS,Jennifer Jones,False,Since You Went Away
1944,BEST SUPPORTING ACTRESS,Angela Lansbury,False,Gaslight
1944,BEST SUPPORTING ACTRESS,Aline MacMahon,False,Dragon Seed
1944,BEST SUPPORTING ACTRESS,Agnes Moorehead,False,Mrs. Parkington
1945,BEST SUPPORTING ACTRESS,Anne Revere ,True,National Velvet
1945,BEST SUPPORTING ACTRESS,Eve Arden,False,Mildred Pierce
1945,BEST SUPPORTING ACTRESS,Ann Blyth,False,Mildred Pierce
1945,BEST SUPPORTING ACTRESS,Angela Lansbury,False,The Picture of Dorian Gray
1945,BEST SUPPORTING ACTRESS,Joan Lorring,False,The Corn is Green
1946,BEST SUPPORTING ACTRESS,Anne Baxter ,True,The Razor's Edge
1946,BEST SUPPORTING ACTRESS,Ethel Barrymore,False,The Spiral Staircase
1946,BEST SUPPORTING ACTRESS,Lillian Gish,False,Duel in the Sun
1946,BEST SUPPORTING ACTRESS,Flora Robson,False,Saratoga Trunk
1946,BEST SUPPORTING ACTRESS,Gale Sondergaard,False,Anna and the King of Siam
1947,BEST SUPPORTING ACTRESS,Celeste Holm ,True,Gentleman's Agreement
1947,BEST SUPPORTING ACTRESS,Ethel Barrymore,False,The Paradine Case
1947,BEST SUPPORTING ACTRESS,Gloria Grahame,False,Crossfire
1947,BEST SUPPORTING ACTRESS,Marjorie Main,False,The Egg and I
1947,BEST SUPPORTING ACTRESS,Anne Revere,False,Gentleman's Agreement
1948,BEST SUPPORTING ACTRESS,Claire Trevor ,True,Key Largo
1948,BEST SUPPORTING ACTRESS,Barbara Bel Geddes,False,I Remember Mama
1948,BEST SUPPORTING ACTRESS,Ellen Corby,False,I Remember Mama
1948,BEST SUPPORTING ACTRESS,Agnes Moorehead,False,Johnny Belinda
1948,BEST SUPPORTING ACTRESS,Jean Simmons,False,Hamlet
1949,BEST SUPPORTING ACTRESS,Mercedes McCambridge ,True,All the King's Men
1949,BEST SUPPORTING ACTRESS,Ethel Barrymore,False,Pinky
1949,BEST SUPPORTING ACTRESS,Celeste Holm,False,Come to the Stable
1949,BEST SUPPORTING ACTRESS,Elsa Lanchester,False,Come to the Stable
1949,BEST SUPPORTING ACTRESS,Ethel Waters,False,Pinky
1950,BEST SUPPORTING ACTRESS,Josephine Hull ,True,Harvey
1950,BEST SUPPORTING ACTRESS,Hope Emerson,False,Caged
1950,BEST SUPPORTING ACTRESS,Celeste Holm,False,All About Eve
1950,BEST SUPPORTING ACTRESS,Nancy Olson,False,Sunset Boulevard
1950,BEST SUPPORTING ACTRESS,Thelma Ritter,False,All About Eve
1951,BEST SUPPORTING ACTRESS,Kim Hunter ,True,A Streetcar Named Desire
1951,BEST SUPPORTING ACTRESS,Joan Blondell,False,The Blue Veil
1951,BEST SUPPORTING ACTRESS,Mildred Dunnock,False,Death of a Salesman
1951,BEST SUPPORTING ACTRESS,Lee Grant,False,Detective Story
1951,BEST SUPPORTING ACTRESS,Thelma Ritter,False,The Mating Season
1952,BEST SUPPORTING ACTRESS,Gloria Grahame ,True,The Bad and the Beautiful
1952,BEST SUPPORTING ACTRESS,Jean Hagen,False,Singin' in the Rain
1952,BEST SUPPORTING ACTRESS,Colette Marchand,False,Moulin Rouge
1952,BEST SUPPORTING ACTRESS,Terry Moore,False,"Come Back, Little Sheba"
1952,BEST SUPPORTING ACTRESS,Thelma Ritter,False,With a Song in My Heart
1953,BEST SUPPORTING ACTRESS,Donna Reed ,True,From Here to Eternity
1953,BEST SUPPORTING ACTRESS,Grace Kelly,False,Mogambo
1953,BEST SUPPORTING ACTRESS,Geraldine Page,False,Hondo
1953,BEST SUPPORTING ACTRESS,Marjorie Rambeau,False,Torch Song
1953,BEST SUPPORTING ACTRESS,Thelma Ritter,False,Pickup on South Street
1954,BEST SUPPORTING ACTRESS,Eva Marie Saint ,True,On the Waterfront
1954,BEST SUPPORTING ACTRESS,Nina Foch,False,Executive Suite
1954,BEST SUPPORTING ACTRESS,Katy Jurado,False,Broken Lance
1954,BEST SUPPORTING ACTRESS,Jan Sterling,False,The High and the Mighty
1954,BEST SUPPORTING ACTRESS,Claire Trevor,False,The High and the Mighty
1955,BEST SUPPORTING ACTRESS,Jo Van Fleet ,True,East of Eden
1955,BEST SUPPORTING ACTRESS,Betsy Blair,False,Marty
1955,BEST SUPPORTING ACTRESS,Peggy Lee,False,Pete Kelly's Blues
1955,BEST SUPPORTING ACTRESS,Marisa Pavan,False,The Rose Tattoo
1955,BEST SUPPORTING ACTRESS,Natalie Wood,False,Rebel Without a Cause
1956,BEST SUPPORTING ACTRESS,Dorothy Malone ,True,Written on the Wind
1956,BEST SUPPORTING ACTRESS,Mildred Dunnock,False,Baby Doll
1956,BEST SUPPORTING ACTRESS,Eileen Heckart,False,The Bad Seed
1956,BEST SUPPORTING ACTRESS,Mercedes McCambridge,False,Giant
1956,BEST SUPPORTING ACTRESS,Patty McCormack,False,The Bad Seed
1957,BEST SUPPORTING ACTRESS,Miyoshi Umeki ,True,Sayonara
1957,BEST SUPPORTING ACTRESS,Carolyn Jones,False,The Bachelor Party
1957,BEST SUPPORTING ACTRESS,Elsa Lanchester,False,Witness for the Prosecution
1957,BEST SUPPORTING ACTRESS,Hope Lange,False,Peyton Place
1957,BEST SUPPORTING ACTRESS,Diane Varsi,False,Peyton Place
1958,BEST SUPPORTING ACTRESS,Wendy Hiller ,True,Separate Tables
1958,BEST SUPPORTING ACTRESS,Peggy Cass,False,Auntie Mame
1958,BEST SUPPORTING ACTRESS,Martha Hyer,False,Some Came Running
1958,BEST SUPPORTING ACTRESS,Maureen Stapleton,False,Lonelyhearts
1958,BEST SUPPORTING ACTRESS,Cara Williams,False,The Defiant Ones
1959,BEST SUPPORTING ACTRESS,Shelley Winters ,True,The Diary of Anne Frank
1959,BEST SUPPORTING ACTRESS,Hermione Baddeley,False,Room at the Top
1959,BEST SUPPORTING ACTRESS,Susan Kohner,False,Imitation of Life
1959,BEST SUPPORTING ACTRESS,Juanita Moore,False,Imitation of Life
1959,BEST SUPPORTING ACTRESS,Thelma Ritter,False,Pillow Talk
1960,BEST SUPPORTING ACTRESS,Shirley Jones ,True,Elmer Gantry
1960,BEST SUPPORTING ACTRESS,Glynis Johns,False,The Sundowners
1960,BEST SUPPORTING ACTRESS,Shirley Knight,False,The Dark at the Top of the Stairs
1960,BEST SUPPORTING ACTRESS,Janet Leigh,False,Psycho
1960,BEST SUPPORTING ACTRESS,Mary Ure,False,Sons and Lovers
1961,BEST SUPPORTING ACTRESS,Rita Moreno ,True,West Side Story
1961,BEST SUPPORTING ACTRESS,Fay Bainter,False,The Children's Hour
1961,BEST SUPPORTING ACTRESS,Judy Garland,False,Judgment at Nuremberg
1961,BEST SUPPORTING ACTRESS,Lotte Lenya,False,The Roman Spring of Mrs. Stone
1961,BEST SUPPORTING ACTRESS,Una Merkel,False,Summer and Smoke
1962,BEST SUPPORTING ACTRESS,Patty Duke ,True,The Miracle Worker
1962,BEST SUPPORTING ACTRESS,Mary Badham,False,To Kill a Mockingbird
1962,BEST SUPPORTING ACTRESS,Shirley Knight,False,Sweet Bird of Youth
1962,BEST SUPPORTING ACTRESS,Angela Lansbury,False,The Manchurian Candidate
1962,BEST SUPPORTING ACTRESS,Thelma Ritter,False,Birdman of Alcatraz
1963,BEST SUPPORTING ACTRESS,Margaret Rutherford ,True,The V.I.P.s
1963,BEST SUPPORTING ACTRESS,Diane Cilento,False,Tom Jones
1963,BEST SUPPORTING ACTRESS,Edith Evans,False,Tom Jones
1963,BEST SUPPORTING ACTRESS,Joyce Redman,False,Tom Jones
1963,BEST SUPPORTING ACTRESS,Lilia Skala,False,Lilies of the Field
1964,BEST SUPPORTING ACTRESS,Lila Kedrova ,True,Zorba the Greek
1964,BEST SUPPORTING ACTRESS,Gladys Cooper,False,My Fair Lady
1964,BEST SUPPORTING ACTRESS,Edith Evans,False,The Chalk Garden
1964,BEST SUPPORTING ACTRESS,Grayson Hall,False,The Night of the Iguana
1964,BEST SUPPORTING ACTRESS,Agnes Moorehead,False,"Hush...Hush, Sweet Charlotte"
1965,BEST SUPPORTING ACTRESS,Shelley Winters ,True,A Patch of Blue
1965,BEST SUPPORTING ACTRESS,Ruth Gordon,False,Inside Daisy Clover
1965,BEST SUPPORTING ACTRESS,Joyce Redman,False,Othello
1965,BEST SUPPORTING ACTRESS,Maggie Smith,False,Othello
1965,BEST SUPPORTING ACTRESS,Peggy Wood,False,The Sound of Music
1966,BEST SUPPORTING ACTRESS,Sandy Dennis ,True,Who's Afraid of Virginia Woolf?
1966,BEST SUPPORTING ACTRESS,Wendy Hiller,False,A Man for All Seasons
1966,BEST SUPPORTING ACTRESS,Jocelyne LaGarde,False,Hawaii
1966,BEST SUPPORTING ACTRESS,Vivien Merchant,False,Alfie
1966,BEST SUPPORTING ACTRESS,Geraldine Page,False,You're a Big Boy Now
1967,BEST SUPPORTING ACTRESS,Estelle Parsons ,True,Bonnie and Clyde
1967,BEST SUPPORTING ACTRESS,Carol Channing,False,Thoroughly Modern Millie
1967,BEST SUPPORTING ACTRESS,Mildred Natwick,False,Barefoot in the Park
1967,BEST SUPPORTING ACTRESS,Beah Richards,False,Guess Who's Coming to Dinner
1967,BEST SUPPORTING ACTRESS,Katharine Ross,False,The Graduate
1968,BEST SUPPORTING ACTRESS,Ruth Gordon ,True,Rosemary's Baby
1968,BEST SUPPORTING ACTRESS,Lynn Carlin,False,Faces
1968,BEST SUPPORTING ACTRESS,Sondra Locke,False,The Heart Is a Lonely Hunter
1968,BEST SUPPORTING ACTRESS,Kay Medford,False,Funny Girl
1968,BEST SUPPORTING ACTRESS,Estelle Parsons,False,"Rachel, Rachel"
1969,BEST SUPPORTING ACTRESS,Goldie Hawn ,True,Cactus Flower
1969,BEST SUPPORTING ACTRESS,Catherine Burns,False,Last Summer
1969,BEST SUPPORTING ACTRESS,Dyan Cannon,False,Bob & Carol & Ted & Alice
1969,BEST SUPPORTING ACTRESS,Sylvia Miles,False,Midnight Cowboy
1969,BEST SUPPORTING ACTRESS,Susannah York,False,"They Shoot Horses, Don't They?"
1970,BEST SUPPORTING ACTRESS,Helen Hayes ,True,Airport
1970,BEST SUPPORTING ACTRESS,Karen Black,False,Five Easy Pieces
1970,BEST SUPPORTING ACTRESS,Lee Grant,False,The Landlord
1970,BEST SUPPORTING ACTRESS,Sally Kellerman,False,MASH
1970,BEST SUPPORTING ACTRESS,Maureen Stapleton,False,Airport
1971,BEST SUPPORTING ACTRESS,Cloris Leachman ,True,The Last Picture Show
1971,BEST SUPPORTING ACTRESS,Ann-Margret,False,Carnal Knowledge
1971,BEST SUPPORTING ACTRESS,Ellen Burstyn,False,The Last Picture Show
1971,BEST SUPPORTING ACTRESS,Barbara Harris,False,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?
1971,BEST SUPPORTING ACTRESS,Margaret Leighton,False,The Go-Between
1972,BEST SUPPORTING ACTRESS,Eileen Heckart ,True,Butterflies Are Free
1972,BEST SUPPORTING ACTRESS,Jeannie Berlin,False,The Heartbreak Kid
1972,BEST SUPPORTING ACTRESS,Geraldine Page,False,Pete 'n' Tillie
1972,BEST SUPPORTING ACTRESS,Susan Tyrrell,False,Fat City
1972,BEST SUPPORTING ACTRESS,Shelley Winters,False,The Poseidon Adventure
1973,BEST SUPPORTING ACTRESS,Tatum O'Neal ,True,Paper Moon
1973,BEST SUPPORTING ACTRESS,Linda Blair,False,The Exorcist
1973,BEST SUPPORTING ACTRESS,Candy Clark,False,American Graffiti
1973,BEST SUPPORTING ACTRESS,Madeline Kahn,False,Paper Moon
1973,BEST SUPPORTING ACTRESS,Sylvia Sidney,False,"Summer Wishes, Winter Dreams"
1974,BEST SUPPORTING ACTRESS,Ingrid Bergman ,True,Murder on the Orient Express
1974,BEST SUPPORTING ACTRESS,Valentina Cortese,False,Day for Night
1974,BEST SUPPORTING ACTRESS,Madeline Kahn,False,Blazing Saddles
1974,BEST SUPPORTING ACTRESS,Diane Ladd,False,Alice Doesn't Live Here Anymore
1974,BEST SUPPORTING ACTRESS,Talia Shire,False,The Godfather Part II
1975,BEST SUPPORTING ACTRESS,Lee Grant ,True,Shampoo
1975,BEST SUPPORTING ACTRESS,Ronee Blakley,False,Nashville
1975,BEST SUPPORTING ACTRESS,Sylvia Miles,False,"Farewell, My Lovely"
1975,BEST SUPPORTING ACTRESS,Lily Tomlin,False,Nashville
1975,BEST SUPPORTING ACTRESS,Brenda Vaccaro,False,Jacqueline Susann's Once Is Not Enough
1976,BEST SUPPORTING ACTRESS,Beatrice Straight ,True,Network
1976,BEST SUPPORTING ACTRESS,Jane Alexander,False,All the President's Men
1976,BEST SUPPORTING ACTRESS,Jodie Foster,False,Taxi Driver
1976,BEST SUPPORTING ACTRESS,Lee Grant,False,Voyage of the Damned
1976,BEST SUPPORTING ACTRESS,Piper Laurie,False,Carrie
1977,BEST SUPPORTING ACTRESS,Vanessa Redgrave ,True,Julia
1977,BEST SUPPORTING ACTRESS,Leslie Browne,False,The Turning Point
1977,BEST SUPPORTING ACTRESS,Quinn Cummings,False,The Goodbye Girl
1977,BEST SUPPORTING ACTRESS,Melinda Dillon,False,Close Encounters of the Third Kind
1977,BEST SUPPORTING ACTRESS,Tuesday Weld,False,Looking for Mr. Goodbar
1978,BEST SUPPORTING ACTRESS,Maggie Smith ,True,California Suite
1978,BEST SUPPORTING ACTRESS,Dyan Cannon,False,Heaven Can Wait
1978,BEST SUPPORTING ACTRESS,Penelope Milford,False,Coming Home
1978,BEST SUPPORTING ACTRESS,Maureen Stapleton,False,Interiors
1978,BEST SUPPORTING ACTRESS,Meryl Streep,False,The Deer Hunter
1979,BEST SUPPORTING ACTRESS,Meryl Streep ,True,Kramer vs. Kramer
1979,BEST SUPPORTING ACTRESS,Jane Alexander,False,Kramer vs. Kramer
1979,BEST SUPPORTING ACTRESS,Barbara Barrie,False,Breaking Away
1979,BEST SUPPORTING ACTRESS,Candice Bergen,False,Starting Over
1979,BEST SUPPORTING ACTRESS,Mariel Hemingway,False,Manhattan
1980,BEST SUPPORTING ACTRESS,Mary Steenburgen ,True,Melvin and Howard
1980,BEST SUPPORTING ACTRESS,Eileen Brennan,False,Private Benjamin
1980,BEST SUPPORTING ACTRESS,Eva Le Gallienne,False,Resurrection
1980,BEST SUPPORTING ACTRESS,Cathy Moriarty,False,Raging Bull
1980,BEST SUPPORTING ACTRESS,Diana Scarwid,False,Inside Moves
1981,BEST SUPPORTING ACTRESS,Maureen Stapleton ,True,Reds
1981,BEST SUPPORTING ACTRESS,Melinda Dillon,False,Absence of Malice
1981,BEST SUPPORTING ACTRESS,Jane Fonda,False,On Golden Pond
1981,BEST SUPPORTING ACTRESS,Joan Hackett,False,Only When I Laugh
1981,BEST SUPPORTING ACTRESS,Elizabeth McGovern,False,Ragtime
1982,BEST SUPPORTING ACTRESS,Jessica Lange ,True,Tootsie
1982,BEST SUPPORTING ACTRESS,Glenn Close,False,The World According to Garp
1982,BEST SUPPORTING ACTRESS,Teri Garr,False,Tootsie
1982,BEST SUPPORTING ACTRESS,Kim Stanley,False,Frances
1982,BEST SUPPORTING ACTRESS,Lesley Ann Warren,False,Victor/Victoria
1983,BEST SUPPORTING ACTRESS,Linda Hunt ,True,The Year of Living Dangerously
1983,BEST SUPPORTING ACTRESS,Cher,False,Silkwood
1983,BEST SUPPORTING ACTRESS,Glenn Close,False,The Big Chill
1983,BEST SUPPORTING ACTRESS,Amy Irving,False,Yentl
1983,BEST SUPPORTING ACTRESS,Alfre Woodard,False,Cross Creek
1984,BEST SUPPORTING ACTRESS,Peggy Ashcroft ,True,A Passage to India
1984,BEST SUPPORTING ACTRESS,Glenn Close,False,The Natural
1984,BEST SUPPORTING ACTRESS,Lindsay Crouse,False,Places in the Heart
1984,BEST SUPPORTING ACTRESS,Christine Lahti,False,Swing Shift
1984,BEST SUPPORTING ACTRESS,Geraldine Page,False,The Pope of Greenwich Village
1985,BEST SUPPORTING ACTRESS,Anjelica Huston ,True,Prizzi's Honor
1985,BEST SUPPORTING ACTRESS,Margaret Avery,False,The Color Purple
1985,BEST SUPPORTING ACTRESS,Amy Madigan,False,Twice in a Lifetime
1985,BEST SUPPORTING ACTRESS,Meg Tilly,False,Agnes of God
1985,BEST SUPPORTING ACTRESS,Oprah Winfrey,False,The Color Purple
1986,BEST SUPPORTING ACTRESS,Dianne Wiest ,True,Hannah and Her Sisters
1986,BEST SUPPORTING ACTRESS,Tess Harper,False,Crimes of the Heart
1986,BEST SUPPORTING ACTRESS,Piper Laurie,False,Children of a Lesser God
1986,BEST SUPPORTING ACTRESS,Mary Elizabeth Mastrantonio,False,The Color of Money
1986,BEST SUPPORTING ACTRESS,Maggie Smith,False,A Room with a View
1987,BEST SUPPORTING ACTRESS,Olympia Dukakis ,True,Moonstruck
1987,BEST SUPPORTING ACTRESS,Norma Aleandro,False,Gaby: A True Story
1987,BEST SUPPORTING ACTRESS,Anne Archer,False,Fatal Attraction
1987,BEST SUPPORTING ACTRESS,Anne Ramsey,False,Throw Momma from the Train
1987,BEST SUPPORTING ACTRESS,Ann Sothern,False,The Whales of August
1988,BEST SUPPORTING ACTRESS,Geena Davis ,True,The Accidental Tourist
1988,BEST SUPPORTING ACTRESS,Joan Cusack,False,Working Girl
1988,BEST SUPPORTING ACTRESS,Frances McDormand,False,Mississippi Burning
1988,BEST SUPPORTING ACTRESS,Michelle Pfeiffer,False,Dangerous Liaisons
1988,BEST SUPPORTING ACTRESS,Sigourney Weaver,False,Working Girl
1989,BEST SUPPORTING ACTRESS,Brenda Fricker ,True,My Left Foot
1989,BEST SUPPORTING ACTRESS,Anjelica Huston,False,"Enemies, A Love Story"
1989,BEST SUPPORTING ACTRESS,Lena Olin,False,"Enemies, A Love Story"
1989,BEST SUPPORTING ACTRESS,Julia Roberts,False,Steel Magnolias
1989,BEST SUPPORTING ACTRESS,Dianne Wiest,False,Parenthood
1990,BEST SUPPORTING ACTRESS,Whoopi Goldberg ,True,Ghost
1990,BEST SUPPORTING ACTRESS,Annette Bening,False,The Grifters
1990,BEST SUPPORTING ACTRESS,Lorraine Bracco,False,Goodfellas
1990,BEST SUPPORTING ACTRESS,Diane Ladd,False,Wild at Heart
1990,BEST SUPPORTING ACTRESS,Mary McDonnell,False,Dances with Wolves
1991,BEST SUPPORTING ACTRESS,Mercedes Ruehl ,True,The Fisher King
1991,BEST SUPPORTING ACTRESS,Diane Ladd,False,Rambling Rose
1991,BEST SUPPORTING ACTRESS,Juliette Lewis,False,Cape Fear
1991,BEST SUPPORTING ACTRESS,Kate Nelligan,False,The Prince of Tides
1991,BEST SUPPORTING ACTRESS,Jessica Tandy,False,Fried Green Tomatoes
1992,BEST SUPPORTING ACTRESS,Marisa Tomei ,True,My Cousin Vinny
1992,BEST SUPPORTING ACTRESS,Judy Davis,False,Husbands and Wives
1992,BEST SUPPORTING ACTRESS,Joan Plowright,False,Enchanted April
1992,BEST SUPPORTING ACTRESS,Vanessa Redgrave,False,Howards End
1992,BEST SUPPORTING ACTRESS,Miranda Richardson,False,Damage
1993,BEST SUPPORTING ACTRESS,Anna Paquin ,True,The Piano
1993,BEST SUPPORTING ACTRESS,Holly Hunter,False,The Firm
1993,BEST SUPPORTING ACTRESS,Rosie Perez,False,Fearless
1993,BEST SUPPORTING ACTRESS,Winona Ryder,False,The Age of Innocence
1993,BEST SUPPORTING ACTRESS,Emma Thompson,False,In the Name of the Father
1994,BEST SUPPORTING ACTRESS,Dianne Wiest ,True,Bullets over Broadway
1994,BEST SUPPORTING ACTRESS,Rosemary Harris,False,Tom & Viv
1994,BEST SUPPORTING ACTRESS,Helen Mirren,False,The Madness of King George
1994,BEST SUPPORTING ACTRESS,Uma Thurman,False,Pulp Fiction
1994,BEST SUPPORTING ACTRESS,Jennifer Tilly,False,Bullets over Broadway
1995,BEST SUPPORTING ACTRESS,Mira Sorvino ,True,Mighty Aphrodite
1995,BEST SUPPORTING ACTRESS,Joan Allen,False,Nixon
1995,BEST SUPPORTING ACTRESS,Kathleen Quinlan,False,Apollo 13
1995,BEST SUPPORTING ACTRESS,Mare Winningham,False,Georgia
1995,BEST SUPPORTING ACTRESS,Kate Winslet,False,Sense and Sensibility
1996,BEST SUPPORTING ACTRESS,Juliette Binoche ,True,The English Patient
1996,BEST SUPPORTING ACTRESS,Joan Allen,False,The Crucible
1996,BEST SUPPORTING ACTRESS,Lauren Bacall,False,The Mirror Has Two Faces
1996,BEST SUPPORTING ACTRESS,Barbara Hershey,False,The Portrait of a Lady
1996,BEST SUPPORTING ACTRESS,Marianne Jean-Baptiste,False,Secrets & Lies
1997,BEST SUPPORTING ACTRESS,Kim Basinger ,True,L.A. Confidential
1997,BEST SUPPORTING ACTRESS,Joan Cusack,False,In & Out
1997,BEST SUPPORTING ACTRESS,Minnie Driver,False,Good Will Hunting
1997,BEST SUPPORTING ACTRESS,Julianne Moore,False,Boogie Nights
1997,BEST SUPPORTING ACTRESS,Gloria Stuart,False,Titanic
1998,BEST SUPPORTING ACTRESS,Judi Dench ,True,Shakespeare in Love
1998,BEST SUPPORTING ACTRESS,Kathy Bates,False,Primary Colors
