nconst,primaryName,primaryProfession,knownForTitles
nm0000255,Ben Affleck,"producer,actor,writer","tt0840361,tt0119217,tt2267998,tt1024648"
nm0000256,Jenny Agutter,"actress,soundtrack","tt0848228,tt0099253,tt0082010,tt0074812"
nm0000257,Alan Alda,"actor,miscellaneous,soundtrack","tt0082405,tt0068098,tt0116242,tt0097123"
nm0000260,Joan Allen,"actress,producer","tt0120789,tt0452608,tt3170832,tt0115988"
nm0000261,Karen Allen,"actress,director,soundtrack","tt0088172,tt0082971,tt0367882,tt0077975"
nm0000262,Nancy Allen,"actress,soundtrack","tt0100502,tt0107978,tt0093870,tt0080661"
nm0000264,Pedro Almodóvar,"writer,director,soundtrack","tt0095675,tt0287467,tt0441909,tt1189073"
nm0000265,Robert Altman,"director,producer,writer","tt0108122,tt0280707,tt0105151,tt0066026"
nm0000267,Julie Andrews,"actress,soundtrack,producer","tt0084865,tt0058331,tt0059742,tt0247638"
nm0000268,Ann-Margret,"actress,soundtrack","tt0107050,tt0077321,tt0073812,tt0056891"
nm0000269,Jean-Jacques Annaud,"director,writer,producer","tt0215750,tt0120102,tt0091605,tt2909116"
nm0000270,Gabrielle Anwar,"actress,producer,soundtrack","tt0810788,tt0105323,tt0108333,tt0455596"
nm0000271,Anne Archer,"actress,producer,soundtrack","tt0093010,tt0105112,tt0160009,tt0108122"
nm0000272,Fanny Ardant,"actress,director,writer","tt0283832,tt0086551,tt0401711,tt0127536"
nm0000273,Alan Arkin,"actor,soundtrack,director","tt0104348,tt1024648,tt0449059,tt0099487"
nm0000274,David Arquette,"producer,actor,director","tt0271367,tt0151738,tt0120082,tt0134084"
nm0000275,Rosanna Arquette,"actress,director,producer","tt0088680,tt0110912,tt0089017,tt0190138"
nm0000276,Sean Astin,"actor,producer,director","tt0167261,tt0120737,tt0089218,tt0167260"
nm0000277,Richard Attenborough,"actor,producer,director","tt0083987,tt0110527,tt0057115,tt0107290"
nm0000278,Pernilla August,"actress,director,writer","tt1437366,tt0104350,tt0120915,tt0121765"
nm0000279,Hank Azaria,"actor,soundtrack,producer","tt0132347,tt0115685,tt1839481,tt0096697"
nm0000281,Scott Baio,"actor,director,producer","tt0070992,tt0281680,tt0270846,tt0367279"
nm0000283,Brenda Bakke,actress,"tt0119488,tt0114781,tt0114608,tt0107144"
nm0000284,Adam Baldwin,"actor,soundtrack","tt0093058,tt0116629,tt0379786,tt0187393"
nm0000285,Alec Baldwin,"actor,producer,soundtrack","tt0104348,tt0318374,tt0407887,tt1230414"
nm0000286,Stephen Baldwin,"actor,producer,director","tt0114814,tt0115683,tt0158622,tt0486583"
nm0000287,William Baldwin,"actor,producer,stunts","tt0367089,tt0101393,tt0108162,tt0113010"
nm0000288,Christian Bale,"actor,editorial_department,producer","tt0468569,tt1800241,tt6266538,tt0372784"
nm0000289,Ellen Barkin,"actress,producer","tt0108330,tt0098273,tt0116277,tt0157503"
nm0000290,John Barry,"music_department,soundtrack,composer","tt0093428,tt0111255,tt0099348,tt0089755"
nm0000291,Angela Bassett,"actress,producer,director","tt0114558,tt2302755,tt1825683,tt0118884"
nm0000293,Sean Bean,"actor,producer,animation_department","tt1181791,tt0944947,tt0120737,tt1617661"
nm0000295,Kate Beckinsale,"actress,soundtrack","tt0213149,tt0401855,tt0338751,tt0320691"
nm0000297,Tom Berenger,"actor,producer,writer","tt1375666,tt0097815,tt1433108,tt0091763"
nm0000298,Candice Bergen,"actress,producer,soundtrack","tt0212346,tt0901476,tt0094514,tt0256415"
nm0000299,Michael Biehn,"actor,producer,director","tt0088247,tt0090605,tt0108358,tt1077258"
nm0000300,Juliette Binoche,"actress,art_department,miscellaneous","tt0241303,tt0116209,tt1219827,tt0108394"
nm0000301,Thora Birch,"actress,producer,soundtrack","tt0105112,tt0107120,tt0162346"
nm0000302,Jacqueline Bisset,"actress,producer","tt0421054,tt0071877,tt0077636,tt0062765"
nm0000303,Honor Blackman,"actress,soundtrack","tt0054518,tt0057197,tt0058150,tt0243155"
nm0000304,Linda Blair,"actress,soundtrack,producer","tt0070047,tt0088044,tt0076009,tt0082511"
