all_reviewers_average,box_office,director_1,director_2,director_3,directors,full_synop,genre,movie_id,mpaa,num_all_fresh,num_all_reviewers,num_all_rotten,num_top_fresh,num_top_reviewers,num_top_rotten,num_users,runtime,simple_title,stream_date,studio,theater_date,title,top_reviewers_average,user_rating,writer,writer_1,writer_2,writer_3
5/10,,Brandon Dickerson,,,Brandon Dickerson,"With his marriage on rocky ground, dejected one-hit author Jack Spencer (David Arquette, Never Been Kissed) agrees to go ""glamping"" with his wife, Amanda (Amy Acker, Marvel's ""The Gifted""), in search of a spark. When they realize they've been double booked with honeymooning hipsters and the handsome, eco-friendly landowner, Nate (Designated Survivor's Adan Canto), enters the picture, a romantic getaway turns into a group ordeal. Jack must learn to get over himself as he dives deep off the grid into a comedic exploration of love, failure, and relevance with some help from miniature donkeys and the sage wisdom of local Jude (Academy Award (R) nominee June Squibb).",Comedy,771484553,NR,2.0,5.0,3.0,,,,111,94.0,Amanda and Jack Go Glamping,"Nov 10, 2017",Spiral Films,"Nov 10, 2017",Amanda and Jack Go Glamping,,4.3/5,Brandon Dickerson,Brandon Dickerson,,
7.4/10,,Chris Smith,,,Chris Smith,"Director Chris Smith's fascinating deep dive into actor Jim Carrey's time spent portraying famed and complicated comedian Andy Kaufman. Using approximately 100 hours of footage shot on the set of Man on the Moon documenting Carrey's transformation into Kaufman for four months. Jim Carrey earned critical acclaim and a Golden Globe for the performance, but many of the production's most Kaufmanesque moments played out behind the scenes, thankfully captured on video by Andy's former girlfriend, Lynne Margulies and former writing partner, Bob Zmuda. In Jim & Andy, Carrey looks back at the resulting footage 18 years later, reflecting on how he and Andy came up in oddly parallel universes, his experience channelling Andy and Tony and more broadly the spiritual journey of his career.",Documentary,771486638,NR,44.0,46.0,2.0,14.0,14.0,0.0,883,94.0,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Nov 17, 2017",Netflix,"Nov 17, 2017","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.9/10,4.2/5,,,,
9.3/10,,,,,,"Comedian Patton Oswalt returns to Netflix with ""Patton Oswalt: Annihilation."" The deeply personal and powerful stand-up special dives into the last year of Patton's life, following the passing of his wife, and how he worked through the pain and grief by finding humor. Oswalt also explores topics including the angst of social media, the current political climate and being tricked by robocalls. Filmed at Chicago's Athenaeum Theatre, the one-hour stand-up special premieres globally on Netflix Tuesday, October 17, coming on the heels of his Emmy (R) award-winning comedy special, ""Talking for Clapping.""",Comedy,771485408,NR,10.0,10.0,0.0,5.0,5.0,0.0,103,60.0,Patton Oswalt: Annihilation,"Oct 17, 2017",Netflix,,Patton Oswalt: Annihilation,9/10,3.6/5,,,,
8.2/10,,Daniel Raim,Francis Ford Coppola,Mel Brooks,"Daniel Raim, Francis Ford Coppola, Mel Brooks, Danny DeVito","Movie fans know the work of Harold and Lillian Michelson, even if they don't recognize the names. Working largely uncredited in the Hollywood system, storyboard artist Harold and film researcher Lillian left an indelible mark on classics by Alfred Hitchcock, Steven Spielberg, Mel Brooks, Stanley Kubrick, Roman Polanski and many more. Through an engaging mix of love letters, film clips and candid conversations with Harold and Lillian, Danny DeVito, Mel Brooks, Francis Ford Coppola and others, this deeply engaging documentary from Academy Award (R)-nominated director Daniel Raim offers both a moving portrait of a marriage and a celebration of the unknown talents that help shape the films we love.",Documentary,771433456,NR,30.0,30.0,0.0,11.0,11.0,0.0,237,100.0,Harold And Lillian: A Hollywood Love Story,"Oct 3, 2017",Adama Films,"Apr 28, 2017",Harold And Lillian: A Hollywood Love Story,7.3/10,4.3/5,"Daniel Raim, Francis Ford Coppola",Daniel Raim,Francis Ford Coppola,
6.5/10,,Barry Levinson,,,Barry Levinson,"Adaptation of journalist Diana B. Henriques' account of financier Bernie Madoff's orchestration of one of the largest frauds in U.S. history that led to financial ruin for thousands of investors and, in the process, his own family's destruction.",Drama,771467744,NR,34.0,46.0,12.0,13.0,19.0,6.0,"1,687",133.0,The Wizard of Lies,"Oct 3, 2017",Tribeca Productions,"May 11, 2017",The Wizard of Lies,6.6/10,3.5/5,"Sam Levinson, John Burnham Schwartz, Samuel Baum",Sam Levinson,John Burnham Schwartz,Samuel Baum
4.4/10,,Anthony C. Ferrante,,,Anthony C. Ferrante,"The pop culture phenomenon SHARKNADO blows into town this summer... and this time, the shark-infested storms pick up wind as the world braces for the inevitable - a global shark takeover. Will our chainsaw-wielding hero Fin Shepard (Ian Ziering) and partner in crime April Wexler (Tara Reid) save the world from this jaw snapping-nado...again?","Horror, Science Fiction & Fantasy, Television",771470801,NR,3.0,10.0,7.0,,,,239,90.0,Sharknado 5: Global Swarming,"Oct 3, 2017",Syfy,,Sharknado 5: Global Swarming,,2.8/5,Thunder Levin,Thunder Levin,,
7.1/10,"$294,980,434",David Yates (II),,,David Yates (II),"The first installment of the two-film adaptation of Harry Potter and the Deathly Hallows follows Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) as they search for the pieces of Voldemort's (Ralph Fiennes) soul that he extracted from his being and hid in obscure locations both far and wide. If the trio is unable to locate and destroy them all, Voldemort will remain immortal. Despite their long friendship, a combination of dark forces, romantic tensions, and long-held secrets threaten to sabotage the mission. David Yates directs. ~ Tracie Cooper, Rovi","Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",770672991,"PG-13 (for some sequences of intense action violence, frightening images and brief sexuality)",211.0,271.0,60.0,36.0,50.0,14.0,"351,028",146.0,Harry Potter and the Deathly Hallows - Part 1,"Apr 15, 2011",Warner Bros. Pictures,"Nov 19, 2010",Harry Potter and the Deathly Hallows - Part 1,7.1/10,4.1/5,Steve Kloves,Steve Kloves,,
6/10,,,,,,"Stephen Turnbull hasn't been outside in months, and when he finds his mind hurtling back to the disastrous trek around Europe he undertook with his friend Bunny, a catalogue of adventures unfold. Stephen's flat becomes the springboard for an extraordinary odyssey through lands made up of snapshots and souvenir replica landmarks within his imagination. ""Bunny & the Bull"" is a touching and beautiful journey to the end of the room.","Comedy, Science Fiction & Fantasy",770782745,NR,21.0,32.0,11.0,,,,"3,462",97.0,Bunny and the Bull,"Apr 26, 2011",Warp X,,Bunny and the Bull,,3.5/5,,,,
7.6/10,"$6,500,000",Rajkumar Hirani,,,Rajkumar Hirani,"Two friends embark on a quest for a lost buddy. On this journey, they encounter a long forgotten bet, a wedding they must crash, and a funeral that goes, ridiculously out of control. As they make their way through the perilous landscape, another journey begins: their inner journey through memory lane and the story of their friend -- the impressible free-thinker Rancho, who is in unique way, touched and changed their lives. It's a story of their hostel days that swings between Rancho's romance with the spirited Pia, and his clash with an oppressive mentor, Viru Sahastrabudhhe. And then one day, suddenly, Rancho vanished. Who was he? Where did he come from? Why did he leave? The friend who influenced and inspired them to think creatively and independently, even as the conformist world called them ""three idiots."" Where is the original idiot now? Finally, in misty mountains of unparalleled beauty, the friends find the key to the secret.","Comedy, Drama",770802394,PG-13,12.0,12.0,0.0,5.0,5.0,0.0,"22,187",170.0,Three Idiots,"Apr 26, 2011",Big Pictures,"Dec 1, 2009",Three Idiots,7.8/10,4.4/5,"Rajkumar Hirani, Abhijat Joshi",Rajkumar Hirani,Abhijat Joshi,
5.4/10,"$210,625",Josh Crook,,,Josh Crook,"""La Soga"" is an edgy, action-drama, combining the gritty reality of movies like ""City of God"" and ""Amores Perros."" It is the personal journey of a brave man who risks everything to find justice, a visceral and gripping story of redemption that lays bare brutality and corruption. ""La Soga"" is set in the neighborhoods of the Dominican Republic and Washington Heights, New York.-- (C) Official Site","Action & Adventure, Art House & International, Drama",770817885,"R (for violence, language and brief nudity)",7.0,16.0,9.0,2.0,7.0,5.0,513,103.0,La Soga,"May 3, 2011",Screen Media Ventures,"Aug 13, 2010",La Soga (The Butcher's Son),4.3/10,3.8/5,Manny Perez,Manny Perez,,
