nconst,primaryName,primaryProfession,knownForTitles
nm0000166,Helen Hunt,"actress,producer,director","tt0162222,tt0119822,tt0117998,tt0103484"
nm0000167,Elizabeth Hurley,"actress,producer","tt0230030,tt0105104,tt0118655,tt0145660"
nm0000168,Samuel L. Jackson,"actor,producer,soundtrack","tt3460252,tt0119396,tt0110912,tt0417148"
nm0000169,Tommy Lee Jones,"actor,director,soundtrack","tt0443272,tt0106977,tt0477348,tt2398231"
nm0000170,Milla Jovovich,"actress,soundtrack,composer","tt0119116,tt0432021,tt1220198,tt1220634"
nm0000171,Ashley Judd,"actress,producer,director","tt0470705,tt0120679,tt0113277,tt0150377"
nm0000172,Harvey Keitel,"actor,producer,soundtrack","tt0103759,tt2278388,tt0105236,tt0110912"
nm0000173,Nicole Kidman,"actress,producer,soundtrack","tt0159365,tt0203009,tt0230600,tt0274558"
nm0000174,Val Kilmer,"actor,soundtrack,producer","tt0373469,tt0101761,tt0120053,tt0235737"
nm0000175,Stephen King,"writer,producer,actor","tt0091499,tt0083767,tt0111161,tt0120689"
nm0000176,Nastassja Kinski,"actress,producer,soundtrack","tt0083722,tt0087884,tt0111400,tt0080009"
nm0000177,Kevin Kline,"actor,soundtrack,director","tt0119360,tt0095159,tt0113117,tt0120891"
nm0000178,Diane Lane,"actress,soundtrack","tt0770828,tt0250797,tt0328589,tt2096673"
nm0000179,Jude Law,"actor,producer,soundtrack","tt0346156,tt0134119,tt0376541,tt2278388"
nm0000180,David Lean,"editor,director,writer","tt0037558,tt0059113,tt0056172,tt0050212"
nm0000181,Heather Locklear,"actress,producer,soundtrack","tt0103491,tt0087262,tt0380623,tt0119695"
nm0000182,Jennifer Lopez,"actress,producer,soundtrack","tt0299930,tt3181822,tt0252076,tt0209958"
nm0000184,George Lucas,"writer,producer,director","tt0066434,tt0069704,tt0076759,tt0082971"
nm0000185,Dolph Lundgren,"actor,producer,director","tt1764651,tt0089927,tt0105698,tt0113481"
nm0000186,David Lynch,"writer,director,producer","tt0460829,tt0166924,tt0105665,tt0098936"
nm0000187,Madonna,"soundtrack,actress,music_department","tt0156841,tt0099422,tt0116250,tt0246460"
nm0000188,Steve Martin,"writer,actor,soundtrack","tt0079367,tt0102250,tt0093886,tt0131325"
nm0000189,Jenny McCarthy,"actress,producer,writer","tt0134084,tt0131857,tt0455967,tt0327643"
nm0000190,Matthew McConaughey,"actor,producer,soundtrack","tt1726669,tt0790636,tt1935179,tt1915581"
nm0000191,Ewan McGregor,"actor,writer,soundtrack","tt1322269,tt0203009,tt0120915,tt0117951"
nm0000192,Alyssa Milano,"actress,producer,soundtrack","tt0088944,tt0158552,tt0116287,tt0086827"
nm0000193,Demi Moore,"actress,producer,director","tt0305357,tt0107211,tt0119173,tt0117765"
nm0000194,Julianne Moore,"actress,soundtrack,producer","tt2172584,tt0842926,tt0274558,tt3316960"
nm0000195,Bill Murray,"actor,soundtrack,writer","tt0128445,tt0335266,tt0362270,tt1748122"
nm0000196,Mike Myers,"actor,writer,soundtrack","tt0145660,tt0118655,tt0811138,tt0295178"
nm0000197,Jack Nicholson,"actor,soundtrack,producer","tt0073486,tt0071315,tt0119822,tt0407887"
nm0000198,Gary Oldman,"actor,soundtrack,producer","tt1340800,tt0091954,tt0468569,tt4555426"
nm0000199,Al Pacino,"actor,soundtrack,director","tt0072890,tt0070666,tt0099422,tt0068646"
nm0000200,Bill Paxton,"actor,producer,writer","tt0264616,tt0112384,tt0090605,tt0117998"
nm0000201,Michelle Pfeiffer,"actress,soundtrack,producer","tt0117247,tt0161081,tt0427327,tt0112792"
nm0000202,Ryan Phillippe,"actor,producer,director","tt0280707,tt0375679,tt0139134,tt0202677"
nm0000203,River Phoenix,"actor,soundtrack","tt0092005,tt0096018,tt0102494,tt0091557"
nm0000204,Natalie Portman,"actress,producer,soundtrack","tt1619029,tt0376541,tt0434409,tt0947798"
nm0000205,Parker Posey,"actress,soundtrack,writer","tt0106677,tt0348150,tt0134084,tt0359013"
nm0000206,Keanu Reeves,"actor,producer,soundtrack","tt0102685,tt0133093,tt0234215,tt0111257"
nm0000207,Christina Ricci,"actress,producer,soundtrack","tt0112642,tt0101272,tt0811080,tt0462200"
nm0000208,Molly Ringwald,"actress,soundtrack,music_department","tt0091790,tt0088128,tt0088847,tt0095169"
nm0000209,Tim Robbins,"actor,producer,director","tt0105151,tt0094812,tt0111161,tt0327056"
nm0000210,Julia Roberts,"actress,producer,soundtrack","tt1322269,tt0195685,tt0119738,tt0100405"
nm0000211,Mimi Rogers,"actress,producer,soundtrack","tt0120738,tt0488085,tt0210070,tt0118655"
nm0000212,Meg Ryan,"actress,producer,soundtrack","tt0120632,tt0098635,tt0108160,tt0128853"
nm0000213,Winona Ryder,"actress,producer,soundtrack","tt0118583,tt0097493,tt0172493,tt0110367"
nm0000215,Susan Sarandon,"actress,producer,soundtrack","tt0094812,tt0103074,tt0120686,tt0112818"
nm0000216,Arnold Schwarzenegger,"actor,producer,director","tt0093773,tt0216216,tt0103064,tt0111503"
nm0000217,Martin Scorsese,"producer,director,actor","tt0106226,tt0099685,tt0075314,tt0070379"
nm0000218,Kristin Scott Thomas,"actress,soundtrack,director","tt0109831,tt1602613,tt0280707,tt0116209"
nm0000219,Steven Seagal,"producer,actor,writer","tt0105690,tt0242445,tt0094602,tt0110725"
nm0000220,Joan Severance,"actress,producer","tt0098282,tt0115696,tt0112519,tt0099141"
nm0000221,Charlie Sheen,"actor,producer,soundtrack","tt0094291,tt0369179,tt0107144,tt0108333"
nm0000222,Brooke Shields,"actress,producer,soundtrack","tt0078111,tt0080453,tt0082329,tt0115376"
